UserName,Review,Score,Date,Bank,No.,Positive,Negative,Sentiment
steveawsum,"I signed up, completed identity verification and KYC checks. Deposited some cash. After a week, they lock me out and force me to complete “selfie verification” again??? Then even more trivial, no matter what I do the error messages of “doesn’t match our records” always come up. Screw these neobanks, at least traditional banks don’t screw you over because they got laws to follow.",1,8/3/2024 5:51,Revolut,0,0.019882565,0.9801175,0
AlvaroAW,"While the rest of the banks make it more difficult every day, Revolut never stop improving and making life easier for its users. That what a want from my day to day bank.",5,8/3/2024 2:33,Revolut,1,0.992141902,0.007858055,1
channa_e,I was subscribed to metal and I wanted to close this account. So I downgraded. Had to pay $39 penalty fee which is acceptable. But even after paying penalty. I had to wait since some transactions were pending. I waited for few days. Then I check I had to withdraw all my remaining balance. Finally I finished all the required criteria and proceeded to close account option. Upon clicking close account this app gives 3 pop ups asking to stay. I keep clicking “close account” on all 3 pop ups and it finally proceeded to enter pin. Upon entering pin app says something went wrong. So basically in short this app does not let you to close accounts even after paying penalty. I’m guessing because it’s not categorized as a bank it is not being governed by banking law in the country. Ideally bank would get fined for forcing a customer to keep an account.,1,3/3/2024 15:05,Revolut,2,0.03678133,0.963218689,0
DavidChing,Had issue signing up twice. Go back to YouTrip,1,3/3/2024 13:18,Revolut,3,0.290385246,0.709614694,0
Perry-the-Platypus,What a joke of an app that tries to help exchange currency. Fake advertising.,1,1/3/2024 10:06,Revolut,4,0.008121034,0.991879046,0
NickyyGoh,"This apps really make u vomit blood
A lot of bug during sign up. Used up 1hrs install uninstall still keep stuck at bug 
Annoyed!!!",1,18/2/2024 13:08,Revolut,5,0.011558284,0.988441646,0
jango_sg,"So by some magical stroke of luck, my account was upgraded to a ""Premium Plan"" which costs $10 a month for features I don't need or used.

Then magically, the account goes into negative because the $10 was charged.

So you'd frantically go and see what this plan is and remove it. You can't. You need to downgrade which costs $10.

And because the account is in negative, you count downgrade

So you proceed to close the account but you can't because you still have a plan.

Which then repeats in a viscous loop.

There is no customer service whatsoever. This is a goddamn hoax, not a bank",1,17/2/2024 10:01,Revolut,6,0.011132986,0.988867044,0
TlfTetsuo,Couldnt resurrect my account even after 2 hrs of talking to customer services and providing extensive documentation. Never using again.,1,15/2/2024 6:45,Revolut,7,0.021228872,0.978771091,0
Kaisky123,"Your company need to take more than 4months to process a little refund, and yet still pending to process now, what makes you all think this referral program payment is reliable, shame that you called yourself a payment company.",1,6/2/2024 1:08,Revolut,8,0.017384745,0.982615292,0
EK Eugene,"This platform is generally okay for payments but don’t use it as payment for public transport services. I link my revolut card to my watch because of convenience. But once you have some suspicious transactions like double charging, there’s no way you can file a dispute and no proof to show your suspicion. I will go back to ez-link cards which is a bit troublesome but at least I can make dispute because I can see what bus/train I took in trip history and use their own app. Unlike this linking your card to tap-to-pay thing which you can’t see your travel history and can’t make disputes later.",3,5/2/2024 3:50,Revolut,9,0.134267464,0.865732551,0
New_User01,I’ve tried emailing the customer support but no assistance was provided.,1,12/12/2023 19:38,Revolut,10,0.216134042,0.783865929,0
g go on u,"If there was 0 stars, I will definitely put it",1,7/12/2023 5:19,Revolut,11,0.561126232,0.438873827,1
RusselHeng,"Hate the new layout, looks terrible, please revert back to the previous design",1,5/12/2023 5:21,Revolut,12,0.018962901,0.98103714,0
iboardcast,This app and finance company is trying to do everything under its belt. looking for a good remittance service can’t even properly at a recipient bank.,2,19/11/2023 1:35,Revolut,13,0.042218551,0.957781434,0
Weiixiangg,"I initially invited 3 people during this campaign, my dad, mom, and my girlfriend. For my dad’s account, the customer service officer told us that there was an issue with the security my dad was not able to apply for a card and told me to delete the account and re apply with the same invite link. We did exactly that, made 3 purchases of more than SGD$10 each time, but on my app, it still shows only step 1 done and when I seeked help on the app, it rejected my reward as they said that my dad did not complete the steps.For my mom, her name just straight up was not on my referral page even after completing all the steps. When I requested for help, the system rejected my request starting that they have already rewarded me the money which did not make sense as it was still during the campaign period. The only one that worked was for my girlfriend’s account so a 1/3 chance that the referral works. The help system is also extremely bad as I can only initiate the chat function on the webpage and not the app, and on the webpage, it sometimes bring me on rounds as it will just bring my back to the home page whenever I try to chat with an officer.",1,14/11/2023 17:49,Revolut,14,0.020550048,0.979449928,0
c-cocolia,Invitees will not get reward and their sign up page never mentions it.,1,11/11/2023 16:45,Revolut,15,0.046503577,0.953496397,0
sfxnglin,"Context: Based on Revolut’s T&C, they would take your next available currency wallet, and exchange it at a real time rate if your main wallet does not have sufficient amount.

TLDR; Transactions are not made at the point of reference. It will be accumulated and you will end up spending at least 10% more than you expect to.

For Revolut cards, bus merchants will accumulate all the transactions for a few days, then deduct it from the first time you make the transaction.

For example, at that point of time when you took a trip of only 90cents, you had $1 in your account. 

Hence, you decided to top up your account with another $50 for your next few trips. However, Revolut will take your initial amount ($1) as a point of reference, to deduce your subsequent trips, despite having $50 in your account already.",2,9/11/2023 6:14,Revolut,16,0.585008681,0.414991349,1
SUTHANSEE,Very cheap way of verifying the customer. So humiliating,1,8/11/2023 7:16,Revolut,17,0.015001166,0.984998822,0
Tykkimick,"No doubt good exchange rate and simple to use. Was to give 5 star but this happened. Arranged top up transaction, funds was deducted from my account but was showing declined in Revolut. Asked for assist and they took week to inform to check with sending banks (statement was given), took another week informing reviewing and another week coming back informing to check with their receiving bank to speed thing up? So after getting back the funds or not.. will not use this again!

The customer service is terrible and useless, after 6 weeks has passed and no solution was giving and keep pushing the issue away?!?! Why can’t you guys resolve it when supporting document was giving? Pls return back my money",1,6/11/2023 4:11,Revolut,18,0.018136911,0.981863081,0
cjk25,"Inadequate help chat, buggy system and security protocols. After several weeks, they still can’t tell me why my attempts to exchange currency failed even though the amount was below their published limits. And expect any/all online transactions without 3DS verification to fail. Their security protocol will automatically treat it as fraud and decline the transaction and freeze your account. Given that not all overseas/online merchants use 3DS, this means that any purchase using Revolut is a roll of the dice and you have to pray for it to work.",1,29/10/2023 7:16,Revolut,19,0.024939599,0.975060403,0
Sithija_d,I got a new phone. Old phone is broken. Can't login to new phone. No reply to the support request CSRB-477651,1,27/10/2023 5:30,Revolut,20,0.703716159,0.296283841,1
M.Azad.R,"I've opened 2 bank accounts online using just my Singpass. Revolut asked for access to my data using Singpass AND wanted me to jake a selfie showing the front and back of my passport. Not my national ID (NRIC), but my passport. That's a bit too much. Especially since they aren't even a bank.",1,26/10/2023 16:52,Revolut,21,0.028824259,0.97117573,0
Jimmycornsssss,"+One of the best features of service are the rates and plans. Can be good value if you transact a lot . 

-Down side is most transfers to major countries take 5 working days . 

+ customer service are very attentive 

- customer service can not actually fix issues 

+ app is easy to use 

- without a subscription it’s very expensive",5,25/10/2023 2:30,Revolut,22,0.950949907,0.049050145,1
ShopaholicXOXO:),I toggled into Revolut 10 and now I cannot change back to the original view. The new experience has stripped away everything that I liked about Revolut. It is unintuitive and tacky. Please provide users with an option to return to the original experience.,1,21/10/2023 18:17,Revolut,23,0.016056916,0.983943105,0
我沒有kk幣,"I transfer 3k to my Revolut walllet, the fund was rejected due to 5k e wallet threshold, however , Revolut refuse to transfer back the money to me after few days.",1,18/10/2023 11:49,Revolut,24,0.91688031,0.08311975,1
alisonnnhi,"I’m having trouble opening the app as it keeps prompting me to update to latest version, which I have done - there is no update option available in App Store. How do I overcome the issue and gain access to my account?",3,12/10/2023 14:37,Revolut,25,0.876465082,0.123534828,1
Timothy Chua,I was almost panic mode when I lost my passcode . Thank you guys after verification my documents. Appreciate your service . Excellent customer service,5,11/10/2023 13:29,Revolut,26,0.990364134,0.009635927,1
Winson Yeap,"Despite their good marketing and “premium” looking app design, their tactics are close to scam and is intended to TRAP users from the get go.

They entice users for a free trial which they say will not be charged unless the user opts in. However, what happens is that the user will be automatically be renewed and an amount is charged to the account. Fine, let’s say you pay and you want to unsubscribe, you can’t. Instead, you have to pay a CANCELLATION FEE to downgrade your plan back to Standard. Scummy practices. 

In conclusion, highly NOT RECOMMENDED.",1,9/10/2023 9:30,Revolut,27,0.011144524,0.988855481,0
hairy uggle,"I got this to hopefully make my transactions more convenient, but I have yet to have a smooth experience with this card/app.

The first payment I tried was rejected because the FCY rates increased in the next 10 seconds I hit pay and my balance was 1 cent off.

Later they implemented a compulsory charge on transactions outside of European working hours, which screws over everyone not in or vacationing in Europe. It is very irritating - I expect the cards I have to at least follow my schedule, instead of demand I comply to theirs.",3,4/10/2023 22:42,Revolut,28,0.023834312,0.976165652,0
yfhcychcyc,"How come even after days, I’ve not received my referral bonus? What’s going on",2,18/9/2023 16:32,Revolut,29,0.685100079,0.314899862,1
ogerpon,my account was negative and was suppose to pay the money up soon and therefore out of a sudden i became a premium member without realising? and infact i tried to delete my current bank account to change it to another one and it failed? wow revolut what a big scam app. seriously shouldn’t try this app,1,17/9/2023 3:56,Revolut,30,0.010434519,0.989565492,0
JTheTraveller,"Nonsense app , used it in Korea , the exchange rate is so volatile , inconsistent at all , sgd to won is so low .  One day was like 1sgd to 97.1won , next day is 1sgd to 94.6 won. Youtrip is still better .",1,16/9/2023 7:01,Revolut,31,0.028266566,0.971733391,0
jy.bc,"Phishing people to subscribe a premium trial, but the cancellation will charge 20 dollars, ridiculous",1,11/9/2023 1:09,Revolut,32,0.016592786,0.983407199,0
Merkinball,Your YouTube ad is soo annoying!!!,1,10/9/2023 13:20,Revolut,33,0.014900849,0.985099137,0
Kingsleyteh,"Can get your customer service support to contact me ? I tried asking in your app but there is an error keep asking me to select the date before today. I have selected the date is 28/8/2023, and today date is 7/9/2023. Then I can’t send my enquires also, what can I do ?",1,7/9/2023 7:32,Revolut,34,0.91143471,0.088565238,1
